Timestamp,How old are you?,Gender:,Job:,Do you use the metro?,Which metro do you use more?,How many days do you usually use the metro each week?,Do you usually pay for your ticket? (Your answer is completely anonymous!),Have you ever tried to not pay?,Can you tell us how that experience did go? Was it easy? Did you fear you might get caught? Have you been controlled?,Why do you sometimes prefer not to pay for your ticket?,Can you tell us why you’ve never tried on a free ride?,Do you easily notice when someone doesn't pay for his/her ride?,"If someone wants you to help him to not pay for his ticket, would you do so? Why?",What is your reaction when you see someone passing through (the barrier if it is in Lisboa) without paying?,"There is a warning light on the floor and an alarm sound, which are activated as soon as someone passes without a valid ticket. Would you be more likely to pay in this case?",Would this motivate you to judge someone who is not paying?,"In such a case, would you consider calling that person?",And would you consider calling a nearby authority?,...cheaper?,...quicker to buy a ticket?,...easier to buy a ticket?,How pleased are you with the use of the Metro ?,What would you recommend to increase the general satisfaction of the metro users ?
16/10/2018 18:56:47,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,4,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,Nop,"I dont like it, but i do nothing most of the times",Maybe / Talvez,No / Não,No / Não,Maybe / Talvez,Yes / Sim,Yes / Sim,Yes / Sim,8,size and quantity of trains
16/10/2018 18:58:17,18 - 24,Female/ Feminio,Student-worker/ Trabalhador-estudante,Yes,Lisboa,7,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","It was easy but it depends on the metro station, some of them have more control or less confusion than others. It was only once or twice because i forgot to recharge my monthly pass.",It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,Yes / Sim,No. Because one thing is doing it for myself and for some reasons. But in general i would not help. Unless he needed to get out and not get in. ,no reaction,Yes / Sim,Yes / Sim,Maybe / Talvez,Maybe / Talvez,Yes / Sim,Yes / Sim,Yes / Sim,6,Do not reduce the number of carriages because in lisbon right now we need all of them. And in rush hour increase their frequency. 
16/10/2018 19:00:11,18 - 24,Female/ Femino,Student/ Estudante,Yes,Lisboa,3,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,"I don't need to, I have a monthly subscription for which I pay.",Yes / Sim,"If I'm asked to, I don't. If they do it without asking me I tend to ignore, since it's useless. 
Because it's only fair for everybody if you pay",Annoyed,Yes / Sim,Yes / Sim,Maybe / Talvez,Maybe / Talvez,Yes / Sim,Yes / Sim,Yes / Sim,6,Increase frequency
16/10/2018 19:00:57,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,É Ilegal,Yes / Sim,Yes because it's their problem,I dont care,Yes / Sim,Yes / Sim,No / Não,Maybe / Talvez,Yes / Sim,Yes / Sim,Yes / Sim,5,None
16/10/2018 19:00:57,18 - 24,Female/ Femino,Unemployed/ Desempregado,Yes,Lisboa,1,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,Sim. ,Fico revoltada ,Maybe / Talvez,Yes / Sim,Yes / Sim,Yes / Sim,No / Não,Yes / Sim,Yes / Sim,4,O facto de até ser barato 
16/10/2018 19:02:28,18 - 24,Female/ Femino,Student/ Estudante,Yes,Porto,2,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Evitar pagar a multa e porque usufruo do transporte,Yes / Sim,Não ,Não faço nada,Yes / Sim,Yes / Sim,Maybe / Talvez,No / Não,Yes / Sim,Yes / Sim,Yes / Sim,5,"Ser mais barato;
No metro subterrâneo haver maior cobertura de rede"
16/10/2018 19:04:02,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Sou um gajo às direitas.,Yes / Sim,Se a minha vida estiver em risco sim. Caso contrário não.,Penso que estou no país errado.,Yes / Sim,Yes / Sim,Maybe / Talvez,Maybe / Talvez,Yes / Sim,Yes / Sim,Yes / Sim,3,"Menos atrasos, tempos de espera realistas em vez de 10s que na realidade são 1min. Carruagens decentes sem parecer que estou a andar num cidade isolada da Rússia. E acima de tudo mais frequência de comboios nas horas de ponta, não tolero muito seres humanos."
16/10/2018 19:07:00,18 - 24,Female/ Femino,Student/ Estudante,Yes,Lisboa,2,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,Não ajudo mas também não fico preocupada se entrar ao mesmo tempo que eu através do meu bilhete ,Abano a cabeça ,Yes / Sim,No / Não,No / Não,No / Não,Maybe / Talvez,Maybe / Talvez,No / Não,2,Um tempo de espera mais curto 
16/10/2018 19:08:53,18 - 24,Female/ Femino,Student/ Estudante,Yes,Lisboa,4,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Não é muito caro e provavelmente seria apanhada a tentar,Yes / Sim,"Talvez, se tivesse uma boa razão para não poder pagar",Nenhuma,Yes / Sim,Maybe / Talvex,Maybe / Talvez,Maybe / Talvez,Yes / Sim,Yes / Sim,Yes / Sim,8,Bilhete mais barato
16/10/2018 19:13:50,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Porto,0,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",Não  tive tempo para carregar porque o metro já tinha chegado e estava atrasado. ,It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,Yes / Sim,"Não, pq é um ato incorreto ",Nenhuma ,Yes / Sim,Maybe / Talvex,No / Não,Maybe / Talvez,Maybe / Talvez,Maybe / Talvez,Maybe / Talvez,7,Maior capacidade de resposta à grande quantidade de utilizadores do metro. Mais rápido. Mais vigilância. Mais abrangente pela cidade. 
